item_id,item_type,sprite_key,rarity_id,display_name,stackable,max_stack,use_action_type,use_action_ref_id,description
1001,consumable,gold_bundle_t1,1,골드 뭉치,TRUE,9999,ADD_CURRENCY,1,사용 시 100골드를 획득합니다.
1002,consumable,gold_bundle_t2,1,작은 골드 꾸러미,TRUE,9999,ADD_CURRENCY,1,"사용 시 1,000골드를 획득합니다."
1003,consumable,gold_bundle_t3,1,큰 골드 꾸러미,TRUE,9999,ADD_CURRENCY,1,"사용 시 10,000골드를 획득합니다."
1004,consumable,gold_bundle_t4,1,골드 상자(소),TRUE,9999,ADD_CURRENCY,1,"사용 시 100,000골드를 획득합니다."
1005,consumable,gold_bundle_t4,2,골드 상자(중),TRUE,9999,ADD_CURRENCY,1,"사용 시 1,000,000골드를 획득합니다."
1006,consumable,gold_bundle_t4,3,골드 상자(대),TRUE,9999,ADD_CURRENCY,1,"사용 시 10,000,000골드를 획득합니다."
1101,consumable,crystal_bundle_t1,1,크리스탈 뭉치,TRUE,9999,ADD_CURRENCY,2,사용 시 10크리스탈을 획득합니다.
1102,consumable,crystal_bundle_t2,1,작은 크리스탈 꾸러미,TRUE,9999,ADD_CURRENCY,2,사용 시 50크리스탈을 획득합니다.
1103,consumable,crystal_bundle_t3,1,큰 크리스탈 꾸러미,TRUE,9999,ADD_CURRENCY,2,사용 시 100크리스탈을 획득합니다.
1104,consumable,crystal_bundle_t4,1,크리스탈 상자(소),TRUE,9999,ADD_CURRENCY,2,사용 시 500크리스탈을 획득합니다.
1105,consumable,crystal_bundle_t4,2,크리스탈 상자(중),TRUE,9999,ADD_CURRENCY,2,사용 시 1000크리스탈을 획득합니다.
1106,consumable,crystal_bundle_t4,3,크리스탈 상자(대),TRUE,9999,ADD_CURRENCY,2,사용 시 5000크리스탈을 획득합니다.
100001,loot_box,gem_summon_box_t1,1,보석 소환 상자(T1),TRUE,9999,GEM_GACHA,1,사용 시 랜덤한 타입의 1~5티어 보석을 확률적으로 획득합니다.
100002,loot_box,gem_summon_box_t2,2,보석 소환 상자(T2),TRUE,9999,GEM_GACHA,1,사용 시 랜덤한 타입의 2~5티어 보석을 확률적으로 획득합니다.
100003,loot_box,gem_summon_box_t3,3,보석 소환 상자(T3),TRUE,9999,GEM_GACHA,1,사용 시 랜덤한 타입의 3~5티어 보석을 확률적으로 획득합니다.
101001,loot_box,gem_select_box_t1,2,고급 보석 선택 상자,TRUE,9999,GEM_SELECT,1,사용 시 선택한 타입의 2티어 보석을 획득합니다.
101002,loot_box,gem_select_box_t2,3,희귀 보석 선택 상자,TRUE,9999,GEM_SELECT,1,사용 시 선택한 타입의 3티어 보석을 획득합니다.
101003,loot_box,gem_select_box_t3,4,영웅 보석 선택 상자,TRUE,9999,GEM_SELECT,1,사용 시 선택한 타입의 4티어 보석을 획득합니다.
